Reference,DOI,Plant,Substratum,Taxon,Species,Cover
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,16.161377
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,4.439551
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,8.434953
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,35.43529
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,0.057750255
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,17.002327
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,Natural,Bryozoa,Membranipora membranacea,41.926296
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Natural,Hydrozoa,Obelia spp.,5.48121
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Natural,Hydrozoa,Obelia spp.,4.436296925
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Natural,Hydrozoa,Obelia spp.,3.70302485
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Natural,Hydrozoa,Obelia spp.,4.06966085
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,Natural,Hydrozoa,Obelia spp.,6.2694772
