Species,Site,Chl.a,Chl.c
Laminaria hyperborea,Walter Rocks,0.675148457,0.022942386
Saccharina latissima,Walter Rocks,0.77813943,0.046821409
Saccharina latissima,Walter Rocks,1.088313162,0.067115556
Ecklonia radiata,Karitane,1.73418312,0.276154672
Ecklonia radiata,Karitane,2.177789792,0.334138981
Ecklonia radiata,Karitane,0.706674519,0.33069757
Ecklonia radiata,Karitane,0.267225722,0.223627328
Ecklonia radiata,Karitane,3.005901454,0.525543631
Dictyota kunthii,Karitane,2.475187856,0.23607543
Dictyota kunthii,Karitane,3.658133404,0.36345594
Dictyota kunthii,Karitane,2.236204431,0.177879251
Dictyota kunthii,Karitane,2.222061535,0.295846965
Dictyota kunthii,Karitane,2.627029072,0.491081396
Carpophyllum flexuosum,Karitane,1.604365961,0.265156712
Carpophyllum flexuosum,Karitane,4.63784042,0.650209125
Carpophyllum flexuosum,Karitane,1.397546634,0.272590831
Carpophyllum flexuosum,Karitane,3.402400978,0.569251223
Carpophyllum flexuosum,Karitane,1.47840196,0.222759052
Marginariella boryana,Karitane,0.380876351,0.125287564
Marginariella boryana,Karitane,0.349075206,0.134433058
Marginariella boryana,Karitane,0.642698859,0.168953776
Marginariella boryana,Karitane,1.125638878,0.231799156
Marginariella boryana,Karitane,0.761957936,0.16349044
Macrocystis pyrifera,Karitane,2.95089993,0.463787399
Macrocystis pyrifera,Karitane,2.3654742,0.363112363
Macrocystis pyrifera,Karitane,2.122191865,0.430928865
Macrocystis pyrifera,Karitane,2.447102587,0.372894054
Macrocystis pyrifera,Karitane,2.900209694,0.526131617
Landsburgia quercifolia ,Karitane,1.33049995,0.320653906
Landsburgia quercifolia ,Karitane,0.418665236,0.146794955
Landsburgia quercifolia ,Karitane,0.437043547,0.19076573
Landsburgia quercifolia ,Karitane,0.408659376,0.165543539
Landsburgia quercifolia ,Karitane,0.417249149,0.261632481
Desmarestia ligulata,Karitane,2.486498362,0.695492855
Desmarestia ligulata,Karitane,2.254069209,0.178784121
Desmarestia ligulata,Karitane,3.703589538,0.425331622
Desmarestia ligulata,Karitane,2.87233434,0.167178844
Desmarestia ligulata,Karitane,1.906578476,0.120881799
Marginariella urvilliana,Karitane,0.765158754,0.165722501
Marginariella urvilliana,Karitane,0.704782441,0.196761755
Marginariella urvilliana,Karitane,0.6337517,0.135526162
Undaria pinnatifida,Aramoana,1.612353326,0.210990995
Undaria pinnatifida,Aramoana,1.477363521,0.201692425
Undaria pinnatifida,Aramoana,2.331713318,0.347756163
Undaria pinnatifida,Aramoana,1.749290699,0.269478877
Undaria pinnatifida,Aramoana,9.728636903,1.469784979
Macrocystis pyrifera,Aramoana,0.969933471,0.147804102
Macrocystis pyrifera,Aramoana,0.463239458,0.050107759
Macrocystis pyrifera,Aramoana,0.698541898,0.156087642
Macrocystis pyrifera,Aramoana,1.331482299,0.213678573
Macrocystis pyrifera,Aramoana,2.459232995,0.445896434
Ecklonia radiata,Stewart Island,1.783758758,0.281137805
Ecklonia radiata,Stewart Island,1.524654769,0.654741038
Ecklonia radiata,Stewart Island,1.963992842,0.554078877
Ecklonia radiata,Stewart Island,1.54807567,0.569584404
