Reference,DOI,Plant,Farmed,Taxon,Species,Cover
Rolin et al. 2017,10.1007/s10811-017-1092-8,Laminaria digitata,Yes,Bryozoa,Membranipora membranacea,0
Rolin et al. 2017,10.1007/s10811-017-1092-8,Laminaria digitata,Yes,Bryozoa,Membranipora membranacea,19.473684
Rolin et al. 2017,10.1007/s10811-017-1092-8,Saccharina latissima,Yes,Bryozoa,Membranipora membranacea,0
Rolin et al. 2017,10.1007/s10811-017-1092-8,Saccharina latissima,Yes,Bryozoa,Membranipora membranacea,0
Rolin et al. 2017,10.1007/s10811-017-1092-8,Saccharina latissima,Yes,Bryozoa,Membranipora membranacea,0.28965202
Rolin et al. 2017,10.1007/s10811-017-1092-8,Saccharina latissima,Yes,Bryozoa,Membranipora membranacea,0
Rolin et al. 2017,10.1007/s10811-017-1092-8,Saccharina latissima,Yes,Bryozoa,Membranipora membranacea,2.9535844
Rolin et al. 2017,10.1007/s10811-017-1092-8,Saccharina latissima,Yes,Bryozoa,Membranipora membranacea,0
Rolin et al. 2017,10.1007/s10811-017-1092-8,Saccharina latissima,Yes,Bryozoa,Membranipora membranacea,0
Rolin et al. 2017,10.1007/s10811-017-1092-8,Saccharina latissima,Yes,Bryozoa,Membranipora membranacea,0
Rolin et al. 2017,10.1007/s10811-017-1092-8,Saccharina latissima,Yes,Bryozoa,Membranipora membranacea,0
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,0.3393547
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,0.01794552
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,0.6287933
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,5.6966643
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,2.0530236
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,1.1480349
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,0.2657057
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,0.15006329
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,0.5120424
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,1.9826299
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,0.3741956
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,0.6230643
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,5.849306
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,14.333466
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,0.322786
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,2.0196412
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,4.2594824
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,6.024129
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,6.3635654
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,13.331877
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,0.86236507
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,1.8125559
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,3.8261647
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,5.3872266
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,5.907565
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,9.233378
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,20.274063
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,No,Bryozoa,Membranipora isabelleana,20.907547
